Summary,Issue Type,Parent,Description,Priority,Labels
Add VoiceOver and Dynamic Type support,Story,Accessibility,"Accessibility labels on all interactive elements. All text scales with preferred size. Layouts adapt without truncation.",High,sprint-6
Verify WCAG AA contrast and reduce-motion support,Story,Accessibility,"Audit color combinations against 4.5:1 / 3:1 thresholds. Replace animations with crossfades when Reduce Motion is enabled.",High,sprint-6
Test full VoiceOver flow end-to-end,Story,Accessibility,"Complete start -> complete -> reward -> re-engage loop using only VoiceOver. Fix navigation and announcement issues.",High,sprint-6
Integrate analytics SDK and instrument core events,Story,Release & QA,"Set up Amplitude or Firebase. Instrument: session_started, session_completed, session_abandoned, streak_milestone, item_unlocked, item_purchased, screen_viewed. Required to measure D1/D30 retention and success KPIs.",High,sprint-6
Resolve all P0 and P1 defects,Story,Release & QA,"Triage and fix every P0/P1 bug. No open P0/P1 at submission.",Highest,sprint-6
Achieve crash-free rate >= 99.5% in beta,Story,Release & QA,"Monitor TestFlight beta. Investigate and fix crashes until target is met.",Highest,sprint-6
End-to-end flow verification on iPhone and iPad,Story,Release & QA,"Launch -> start -> complete -> reward -> character -> next session. Verify on both form factors.",Highest,sprint-6
Prepare App Store listing and submit,Story,Release & QA,"Description, keywords, privacy policy, screenshots for all required sizes, app preview video. Submit for review.",High,sprint-6
Define FocusForge+ subscription and implement StoreKit 2 flow,Story,Monetization,"Specify gated features (advanced stats, premium cosmetic tracks). StoreKit 2: purchase, restore, cancellation.",Medium,post-mvp
Implement cosmetic bundle purchases,Story,Monetization,"Non-randomized one-time cosmetic bundles. No loot-box mechanics. No ads during focus sessions.",Medium,post-mvp
